--------- beginning of main
04-07 17:51:26.573  1914  1957 D vendor.oplus.hardware.charger-V6-service: ret_value:120, read content:,292,292,4388,4388,666,98,100,1,1,1048704,453,5066,100,0,4500,600,500,0,0,7500,0,0,1,0,2,1,0,0,4,6430,100,0,0,0,0,0,0,0
04-07 17:51:26.573  1914  1957 D vendor.oplus.hardware.charger-V6-service: gmtime: 2026-04-07-17-51-26
04-07 17:51:26.574  1914  1957 D vendor.oplus.hardware.charger-V6-service: usb_online:1, ac_online:-2147483648, wireless_online:-2147483648
04-07 17:51:26.847 20042 20042 E llm_bench: createInstance(64bit) : createExtendedFactory
04-07 17:51:26.850 20042 20042 E llm_bench: createInstance(64bit) : createExtendedFactory
04-07 17:51:26.850 20042 20042 E llm_bench: Opened libinputextensionsimpl.so
04-07 17:51:26.850 20042 20042 E llm_bench: Opened libinputextensionsimpl.so
04-07 17:51:26.851 20042 20042 E libEGL  : No entry found in platform lookup table for eglSurfaceAttribMTK
04-07 17:51:26.851 20042 20042 D ExtensionsLoader: createInstance(64bit) : createExtendedFactory
04-07 17:51:26.851 20042 20042 D ExtensionsLoader: Opened libguiextimpl.so
04-07 17:51:26.863 20042 20042 D OplusUtils: OplusUtils [89]: 
04-07 17:51:26.867 20042 20042 E MNNJNI  : Can't open file:/sys/devices/system/cpu/cpufreq/boost/affected_cpus
04-07 17:51:26.867 20042 20042 I MNNJNI  : CPU Group: [ 0  1 ], 364800 - 2265600
04-07 17:51:26.867 20042 20042 I MNNJNI  : CPU Group: [ 5  6 ], 499200 - 2956800
04-07 17:51:26.867 20042 20042 I MNNJNI  : CPU Group: [ 2  3  4 ], 499200 - 3148800
04-07 17:51:26.867 20042 20042 I MNNJNI  : CPU Group: [ 7 ], 480000 - 3302400
04-07 17:51:26.868 20042 20042 W libc    : Access denied finding property "ro.hardware.chipname"
04-07 17:51:26.868 20042 20042 I MNNJNI  : (last_midr & (CPUINFO_ARM_MIDR_IMPLEMENTER_MASK | CPUINFO_ARM_MIDR_PART_MASK))=0x 4100d820 in _getInfoArm, 1234 
04-07 17:51:26.868 20042 20042 I MNNJNI  : The device supports: i8sdot:1, fp16:1, i8mm: 1, sve2: 0, sme2: 0
04-07 17:51:26.868 20042 20042 I MNNJNI  : DEBUG: CPURuntime::CPURuntime called. cpuMask=0 (Hex: 0x0)
04-07 17:51:26.868 20042 20042 I MNNJNI  : DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-07 17:51:26.868 20042 20042 I MNNJNI  : [AECS] Device=OnePlus/PKG110/OP5D2BL1:15/UKQ1.231108.001/V.46ea308-2771c91-2776590:user/release-keys, prefill order=7,6,5,4,3,2,1,0, decode stage1 order=7,6,5,4,3,2
04-07 17:51:26.868 20042 20042 I MNNJNI  : [AutoTuner] Initialized. Default(threads=1, affinity=0x0) Prefill(policy=dynamic, static=0.00, target_chunks=60, threads=1, affinity=0x0) Decode(policy=dynamic, static=0.00, target_chunks=2, threads=1, affinity=0x0)
04-07 17:51:26.868 20042 20042 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-07 17:51:26.868 20042 20042 I MNNJNI  : 379:
04-07 17:51:26.868 20042 20042 I MNNJNI  : 379:
04-07 17:51:26.868 20042 20042 I MNNJNI  : 923:
