--------- beginning of main
04-11 19:50:42.367 I/MNNJNI  (15609): 867:
04-11 19:50:42.367 I/MNNJNI  (15609): 867:
04-11 19:50:42.367 I/MNNJNI  (15609): 1024
04-11 19:50:42.367 I/MNNJNI  (15609): ]
04-11 19:50:42.367 I/MNNJNI  (15609): [AutoTuner] Prefill tuning updated: policy=work_steal, target_chunks=0
04-11 19:50:42.367 I/MNNJNI  (15609): [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=2
04-11 19:50:42.367 I/MNNJNI  (15609): [AutoTuner] Default execution updated: threads=8, affinity=0xFF
04-11 19:50:42.367 I/MNNJNI  (15609): [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-11 19:50:42.367 I/MNNJNI  (15609): [AutoTuner] Decode execution updated: threads=1, affinity=0x80
04-11 19:50:42.370 I/MNNJNI  (15609): Binding to CPU Core IDs: [0,1,2,3,4,5,6,7]
04-11 19:50:42.370 I/MNNJNI  (15609): Llm::initRuntime (Path B): pool_threads=8, merged_cpu_ids=8, cpuMask=0xff
04-11 19:50:42.370 I/MNNJNI  (15609): DEBUG: Force Creating Runtime via Executor. cpuMask = 0xff
04-11 19:50:42.370 I/MNNJNI  (15609): DEBUG: CPURuntime::CPURuntime called. cpuMask=255 (Hex: 0xff)
04-11 19:50:42.518 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:42.521 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:42.521 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-11 19:50:42.791 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:42.791 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-11 19:50:42.791 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:42.791 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-11 19:50:43.044 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:43.044 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-11 19:50:43.045 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:43.045 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-11 19:50:43.045 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=255 (Hex: 0xff)
04-11 19:50:43.045 I/MNNJNI  (15609): DEBUG: CPURuntime::onCreate called. cpuMask=0 (Hex: 0x0)
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Core capacities set to: [
04-11 19:50:43.045 I/MNNJNI  (15609): 379:
04-11 19:50:43.045 I/MNNJNI  (15609): 379:
04-11 19:50:43.045 I/MNNJNI  (15609): 923:
04-11 19:50:43.045 I/MNNJNI  (15609): 923:
04-11 19:50:43.045 I/MNNJNI  (15609): 923:
04-11 19:50:43.045 I/MNNJNI  (15609): 867:
04-11 19:50:43.045 I/MNNJNI  (15609): 867:
04-11 19:50:43.045 I/MNNJNI  (15609): 1024
04-11 19:50:43.045 I/MNNJNI  (15609): ]
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Prefill tuning updated: policy=work_steal, target_chunks=0
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=2
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Default execution updated: threads=8, affinity=0xFF
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Decode execution updated: threads=1, affinity=0x80
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Thread config: pool=8, prefill=6, decode=1
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Pool    cpu ids: 0,1,2,3,4,5,6,7 | affinity mask: 0xFF
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Prefill cpu ids: 2,3,4,5,6,7 | affinity mask: 0xFC
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Decode  cpu ids: 7 | affinity mask: 0x80
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Scheduler prefill=work_steal decode=dynamic
