run_label	package_name	remote_dir	threads	prefill_ids	decode_ids	policy	prefill_static	decode_static	prefill_chunks	decode_chunks	prefill_tok_s	prefill_tok_s_stdev	decode_tok_s	decode_tok_s_stdev	prefill_sched	decode_sched	log_file	trace_file
20260326_135536_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	2	6,7	6,7	dynamic	auto	auto	auto	auto	302.516	0.917	54.655	0.426	03-26 13:55:59.260 7620 7620 I MNNJNI : [llm_bench][sched][PREFILL] policy=dynamic ops=1521 total=475728 static=0 dynamic=475728 avg_step=78.1933 avg_target_chunks=8 theo_chunks=6084 actual_chunks=6084 last={total=18992,static=0,dynamic=18992,step=4748,target=8,threads=2,min=1} static_loads=[] dynamic_loads=[0:238766,1:236962] latency_us=105646 tok_s=302.898	03-26 13:55:59.260 7620 7620 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=147250 tok_s=54.329	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135536_mnn_aecs_run_20260326_134936/logs/135551_2T_P6_7_D6_7_poldynamic_psauto_dsauto_pcauto_dcauto.log	-
20260326_135536_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	2	6,7	6,7	hybrid	0.05	0.02	auto	auto	302.867	0.114	53.640	0.327	03-26 13:56:01.514 7634 7634 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=1521 total=475728 static=9171 dynamic=466557 avg_step=78.1933 avg_target_chunks=8 theo_chunks=6084 actual_chunks=6084 last={total=18992,static=379,dynamic=18613,step=4748,target=8,threads=2,min=1} static_loads=[0:4725,1:4446] dynamic_loads=[0:235140,1:231417] latency_us=105646 tok_s=302.898	03-26 13:56:01.514 7634 7634 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=149628 tok_s=53.466	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135536_mnn_aecs_run_20260326_134936/logs/135553_2T_P6_7_D6_7_polhybrid_ps0p05_ds0p02_pcauto_dcauto.log	-
20260326_135536_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	2	6,7	6,7	guided	auto	auto	auto	auto	303.690	0.296	53.925	0.455	03-26 13:56:03.753 7643 7643 I MNNJNI : [llm_bench][sched][PREFILL] policy=guided ops=1521 total=475728 static=9171 dynamic=466557 avg_step=76.8797 avg_target_chunks=8 theo_chunks=19776 actual_chunks=19776 last={total=18992,static=379,dynamic=18613,step=4654,target=8,threads=2,min=1} static_loads=[0:4725,1:4446] dynamic_loads=[0:226360,1:240197] latency_us=105264 tok_s=303.998	03-26 13:56:03.754 7643 7643 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=149539 tok_s=53.498	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135536_mnn_aecs_run_20260326_134936/logs/135556_2T_P6_7_D6_7_polguided_psauto_dsauto_pcauto_dcauto.log	-
