threads	ids	pp512_ms_mean	pp512_ms_std	tg128_ms_mean	tg128_ms_std	e2e_ms_mean	e2e_ms_std	decode_tok_s_mean	decode_tok_s_std	n
4	none	1178.86	2.64	1475.07	9.27	2653.93	7.27	86.779	0.609	5
4	4,5,6,7	1115.48	1.67	1348.36	6.61	2463.84	7.25	94.933	0.520	5
5	none	963.03	4.00	1332.41	9.40	2295.44	11.31	96.071	0.756	5
5	3,4,5,6,7	931.80	1.75	1344.62	5.85	2276.42	6.83	95.196	0.464	5
6	none	844.51	3.02	1356.19	6.70	2200.70	6.48	94.385	0.518	5
6	2,3,4,5,6,7	847.60	1.17	1345.31	3.95	2192.91	3.55	95.146	0.313	5
