run_label	package_name	remote_dir	threads	prefill_ids	decode_ids	policy	prefill_static	decode_static	prefill_chunks	decode_chunks	prefill_tok_s	prefill_tok_s_stdev	decode_tok_s	decode_tok_s_stdev	prefill_sched	decode_sched	log_file	trace_file
20260326_135829_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	8	0,1,2,3,4,5,6,7	0,1,2,3,4,5,6,7	dynamic	auto	auto	auto	auto	489.723	4.618	22.111	0.079	03-26 13:59:20.479 7747 7747 I MNNJNI : [llm_bench][sched][PREFILL] policy=dynamic ops=21801 total=7324752 static=0 dynamic=7324752 avg_step=20.9893 avg_target_chunks=32 theo_chunks=350496 actual_chunks=350496 last={total=18992,static=0,dynamic=18992,step=1187,target=32,threads=8,min=1} static_loads=[] dynamic_loads=[0:1433376,1:939153,2:1236148,3:966034,4:952475,5:908184,6:444261,7:445121] latency_us=1036533 tok_s=493.954	03-26 13:59:20.479 7747 7747 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=5805327 tok_s=22.049	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135829_mnn_aecs_run_20260326_134936/logs/135846_8T_P0_1_2_3_4_5_6_7_D0_1_2_3_4_5_6_7_poldynamic_psauto_dsauto_pcauto_dcauto.log	-
20260326_135829_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	8	0,1,2,3,4,5,6,7	0,1,2,3,4,5,6,7	hybrid	0.05	0.02	auto	auto	489.191	5.139	19.343	0.047	03-26 13:59:53.172 7773 7773 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=21801 total=7324752 static=141387 dynamic=7183365 avg_step=20.9893 avg_target_chunks=32 theo_chunks=350328 actual_chunks=350328 last={total=18992,static=379,dynamic=18613,step=1187,target=32,threads=8,min=1} static_loads=[0:20286,1:28380,2:12852,3:19512,4:19512,5:28767,6:2967,7:9111] dynamic_loads=[0:1360036,1:882126,2:1183444,3:968439,4:976057,5:857510,6:490402,7:465351] latency_us=1039296 tok_s=492.641	03-26 13:59:53.172 7773 7773 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=6617334 tok_s=19.343	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135829_mnn_aecs_run_20260326_134936/logs/135916_8T_P0_1_2_3_4_5_6_7_D0_1_2_3_4_5_6_7_polhybrid_ps0p05_ds0p02_pcauto_dcauto.log	-
20260326_135829_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	8	0,1,2,3,4,5,6,7	0,1,2,3,4,5,6,7	guided	auto	auto	auto	auto	478.658	44.170	19.304	0.490	03-26 14:00:26.013 7788 7788 I MNNJNI : [llm_bench][sched][PREFILL] policy=guided ops=21801 total=7324752 static=141387 dynamic=7183365 avg_step=20.8686 avg_target_chunks=32 theo_chunks=901887 actual_chunks=901887 last={total=18992,static=379,dynamic=18613,step=1164,target=32,threads=8,min=1} static_loads=[0:20286,1:28380,2:12852,3:19512,4:19512,5:28767,6:2967,7:9111] dynamic_loads=[0:1301720,1:925237,2:1148953,3:1058564,4:1049376,5:877520,6:443891,7:378104] latency_us=1197217 tok_s=427.658	03-26 14:00:26.013 7788 7788 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=6829371 tok_s=18.743	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135829_mnn_aecs_run_20260326_134936/logs/135946_8T_P0_1_2_3_4_5_6_7_D0_1_2_3_4_5_6_7_polguided_psauto_dsauto_pcauto_dcauto.log	-
