run_label	package_name	remote_dir	threads	prefill_ids	decode_ids	policy	prefill_static	decode_static	prefill_chunks	decode_chunks	prefill_tok_s	prefill_tok_s_stdev	decode_tok_s	decode_tok_s_stdev	prefill_sched	decode_sched	log_file	trace_file
20260326_135655_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	4	2,3,4,7	2,3,4,7	dynamic	auto	auto	auto	auto	370.778	0.156	51.954	0.143	03-26 13:57:31.603 7676 7676 I MNNJNI : [llm_bench][sched][PREFILL] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[0:1831188,1:1831188,2:1831188,3:1831188] dynamic_loads=[] latency_us=1381550 tok_s=370.598	03-26 13:57:31.603 7676 7676 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=2462376 tok_s=51.982	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135655_mnn_aecs_run_20260326_134936/logs/135708_4T_P2_3_4_7_D2_3_4_7_poldynamic_psauto_dsauto_pcauto_dcauto.log	-
20260326_135655_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	4	2,3,4,7	2,3,4,7	hybrid	0.05	0.02	auto	auto	370.378	0.247	51.394	0.021	03-26 13:57:48.782 7701 7701 I MNNJNI : [llm_bench][sched][PREFILL] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[0:1831188,1:1831188,2:1831188,3:1831188] dynamic_loads=[] latency_us=1383317 tok_s=370.125	03-26 13:57:48.782 7701 7701 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=2489916 tok_s=51.407	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135655_mnn_aecs_run_20260326_134936/logs/135724_4T_P2_3_4_7_D2_3_4_7_polhybrid_ps0p05_ds0p02_pcauto_dcauto.log	-
20260326_135655_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	4	2,3,4,7	2,3,4,7	guided	auto	auto	auto	auto	370.161	0.221	52.909	0.350	03-26 13:58:05.644 7715 7715 I MNNJNI : [llm_bench][sched][PREFILL] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[0:1831188,1:1831188,2:1831188,3:1831188] dynamic_loads=[] latency_us=1382379 tok_s=370.376	03-26 13:58:05.644 7715 7715 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=2431402 tok_s=52.645	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_135655_mnn_aecs_run_20260326_134936/logs/135743_4T_P2_3_4_7_D2_3_4_7_polguided_psauto_dsauto_pcauto_dcauto.log	-
