run_label	package_name	remote_dir	threads	prefill_ids	decode_ids	policy	prefill_static	decode_static	prefill_chunks	decode_chunks	prefill_tok_s	prefill_tok_s_stdev	decode_tok_s	decode_tok_s_stdev	prefill_sched	decode_sched	log_file	trace_file
ratio_cv_prefill_hybrid_decode_dynamic	mnn_aecs_run_20260326_154724	/data/local/tmp/mnn_aecs_run_20260326_154724	6	2,3,4,5,6,7	7	dynamic	0.3	0	auto	auto	539.787	0.867	51.959	0.211	03-26 15:49:11.631 8973 8973 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=338 total=84736 static=2520 dynamic=82216 avg_step=113.917 avg_target_chunks=24 theo_chunks=2524 actual_chunks=2524 last={total=18992,static=0,dynamic=18992,step=9496,target=24,threads=6,min=1} static_loads=[0:504,1:336,2:336,3:504,4:336,5:504] dynamic_loads=[0:40114,1:5968,2:12752,3:5400,4:4272,5:13710] latency_us=948010 tok_s=540.079	03-26 15:49:14.229 8973 8973 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=21633 total=7316016 static=0 dynamic=7316016 avg_step=169.094 avg_target_chunks=2 theo_chunks=43266 actual_chunks=43266 last={total=18992,static=0,dynamic=18992,step=9496,target=2,threads=1,min=1} static_loads=[0:38016] dynamic_loads=[0:7316016] latency_us=2470203 tok_s=51.818	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/ratio_cv_prefill_hybrid_decode_dynamic/logs/154851_6T_P2_3_4_5_6_7_D7_poldynamic_ps0p3_ds0_pcauto_dcauto.log	-
ratio_cv_prefill_hybrid_decode_dynamic	mnn_aecs_run_20260326_154724	/data/local/tmp/mnn_aecs_run_20260326_154724	6	2,3,4,5,6,7	7	dynamic	0.4	0	auto	auto	554.283	0.217	51.794	0.038	03-26 15:49:27.165 8987 8987 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=338 total=84736 static=3360 dynamic=81376 avg_step=113.917 avg_target_chunks=24 theo_chunks=2188 actual_chunks=2188 last={total=18992,static=0,dynamic=18992,step=9496,target=24,threads=6,min=1} static_loads=[0:672,1:504,2:504,3:504,4:672,5:504] dynamic_loads=[0:39792,1:6128,2:14368,3:3220,4:3960,5:13908] latency_us=923651 tok_s=554.322	03-26 15:49:29.761 8987 8987 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=21633 total=7316016 static=0 dynamic=7316016 avg_step=169.094 avg_target_chunks=2 theo_chunks=43266 actual_chunks=43266 last={total=18992,static=0,dynamic=18992,step=9496,target=2,threads=1,min=1} static_loads=[0:38016] dynamic_loads=[0:7316016] latency_us=2469275 tok_s=51.837	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/ratio_cv_prefill_hybrid_decode_dynamic/logs/154908_6T_P2_3_4_5_6_7_D7_poldynamic_ps0p4_ds0_pcauto_dcauto.log	-
ratio_cv_prefill_hybrid_decode_dynamic	mnn_aecs_run_20260326_154724	/data/local/tmp/mnn_aecs_run_20260326_154724	6	2,3,4,5,6,7	7	dynamic	0.5	0	auto	auto	541.978	0.087	51.359	0.154	03-26 15:49:42.813 9016 9016 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=338 total=84736 static=4368 dynamic=80368 avg_step=113.917 avg_target_chunks=24 theo_chunks=1852 actual_chunks=1852 last={total=18992,static=0,dynamic=18992,step=9496,target=24,threads=6,min=1} static_loads=[0:840,1:672,2:672,3:672,4:840,5:672] dynamic_loads=[0:39607,1:5864,2:5321,3:4320,4:4448,5:20808] latency_us=944618 tok_s=542.018	03-26 15:49:45.441 9016 9016 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=21633 total=7316016 static=0 dynamic=7316016 avg_step=169.094 avg_target_chunks=2 theo_chunks=43266 actual_chunks=43266 last={total=18992,static=0,dynamic=18992,step=9496,target=2,threads=1,min=1} static_loads=[0:38016] dynamic_loads=[0:7316016] latency_us=2499591 tok_s=51.208	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/ratio_cv_prefill_hybrid_decode_dynamic/logs/154923_6T_P2_3_4_5_6_7_D7_poldynamic_ps0p5_ds0_pcauto_dcauto.log	-
ratio_cv_prefill_hybrid_decode_dynamic	mnn_aecs_run_20260326_154724	/data/local/tmp/mnn_aecs_run_20260326_154724	6	2,3,4,5,6,7	7	dynamic	0.6	0	auto	auto	541.406	1.364	51.163	0.068	03-26 15:49:58.518 9036 9036 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=338 total=84736 static=5208 dynamic=79528 avg_step=113.917 avg_target_chunks=24 theo_chunks=1516 actual_chunks=1516 last={total=18992,static=0,dynamic=18992,step=9496,target=24,threads=6,min=1} static_loads=[0:1008,1:840,2:672,3:1008,4:840,5:840] dynamic_loads=[0:39253,1:13008,2:15019,3:4520,4:2576,5:5152] latency_us=948120 tok_s=540.016	03-26 15:50:01.150 9036 9036 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=21633 total=7316016 static=0 dynamic=7316016 avg_step=169.094 avg_target_chunks=2 theo_chunks=43266 actual_chunks=43266 last={total=18992,static=0,dynamic=18992,step=9496,target=2,threads=1,min=1} static_loads=[0:38016] dynamic_loads=[0:7316016] latency_us=2504725 tok_s=51.103	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/ratio_cv_prefill_hybrid_decode_dynamic/logs/154940_6T_P2_3_4_5_6_7_D7_poldynamic_ps0p6_ds0_pcauto_dcauto.log	-
