04-09 23:47:13.849 20399 20399 E llm_bench: createInstance(64bit) : createExtendedFactory
04-09 23:47:13.852 20399 20399 E llm_bench: createInstance(64bit) : createExtendedFactory
04-09 23:47:13.852 20399 20399 E llm_bench: Opened libinputextensionsimpl.so
04-09 23:47:13.852 20399 20399 E llm_bench: Opened libinputextensionsimpl.so
04-09 23:47:13.867 20399 20399 E MNNJNI  : Can't open file:/sys/devices/system/cpu/cpufreq/boost/affected_cpus
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AECS][Static] representative warmup cpu_ids=7,6,5,4,3,2 threads=6 capacities=379,379,923,923,923,867,867,1024 before pair measurements
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-09 23:47:14.625 20399 20399 I MNNJNI  : 379:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 379:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 923:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 923:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 923:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 867:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 867:
04-09 23:47:14.625 20399 20399 I MNNJNI  : 1024
04-09 23:47:14.625 20399 20399 I MNNJNI  : ]
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Prefill tuning updated: policy=static, target_chunks=0
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=12
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Default execution updated: threads=6, affinity=0xFC
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Decode execution updated: threads=6, affinity=0xFC
04-09 23:47:14.625 20399 20399 I MNNJNI  : [AutoTuner] Phase changed: UNKNOWN -> PREFILL (threads=6, affinity=0xFC)
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AECS][Prefill][warmup 1/1] candidate=7,6,5,4,3,2 threads=6 prompt=512 time=0.997124 s speed=513.477 tok/s
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-09 23:47:15.643 20399 20399 I MNNJNI  : 379:
04-09 23:47:15.643 20399 20399 I MNNJNI  : 379:
04-09 23:47:15.643 20399 20399 I MNNJNI  : 923:
04-09 23:47:15.643 20399 20399 I MNNJNI  : 923:
04-09 23:47:15.643 20399 20399 I MNNJNI  : 923:
04-09 23:47:15.643 20399 20399 I MNNJNI  : 867:
04-09 23:47:15.643 20399 20399 I MNNJNI  : 867:
