run_label	package_name	remote_dir	threads	prefill_ids	decode_ids	policy	prefill_static	decode_static	prefill_chunks	decode_chunks	prefill_tok_s	prefill_tok_s_stdev	decode_tok_s	decode_tok_s_stdev	prefill_sched	decode_sched	log_file	trace_file
20260326_140142_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	2	6,7	6,7	dynamic	auto	auto	auto	auto	263.425	0.184	50.978	0.201	03-26 14:02:22.281 7860 7860 I MNNJNI : [llm_bench][sched][PREFILL] policy=dynamic ops=21801 total=7324752 static=0 dynamic=7324752 avg_step=83.9494 avg_target_chunks=8 theo_chunks=87876 actual_chunks=87876 last={total=18992,static=0,dynamic=18992,step=4748,target=8,threads=2,min=1} static_loads=[] dynamic_loads=[0:3675544,1:3649208] latency_us=1942131 tok_s=263.628	03-26 14:02:22.281 7860 7860 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=2522343 tok_s=50.746	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_140142_mnn_aecs_run_20260326_134936/logs/140156_2T_P6_7_D6_7_poldynamic_psauto_dsauto_pcauto_dcauto.log	-
20260326_140142_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	2	6,7	6,7	hybrid	0.05	0.02	auto	auto	259.698	0.701	49.597	0.194	03-26 14:02:42.172 7869 7869 I MNNJNI : [llm_bench][sched][PREFILL] policy=hybrid ops=21801 total=7324752 static=141387 dynamic=7183365 avg_step=83.9494 avg_target_chunks=8 theo_chunks=87876 actual_chunks=87876 last={total=18992,static=379,dynamic=18613,step=4748,target=8,threads=2,min=1} static_loads=[0:72693,1:68694] dynamic_loads=[0:3623073,1:3560292] latency_us=1965425 tok_s=260.503	03-26 14:02:42.172 7869 7869 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=2570184 tok_s=49.802	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_140142_mnn_aecs_run_20260326_134936/logs/140217_2T_P6_7_D6_7_polhybrid_ps0p05_ds0p02_pcauto_dcauto.log	-
20260326_140142_mnn_aecs_run_20260326_134936	mnn_aecs_run_20260326_134936	/data/local/tmp/mnn_aecs_run_20260326_134936	2	6,7	6,7	guided	auto	auto	auto	auto	290.268	0.285	49.654	0.111	03-26 14:03:01.232 7879 7879 I MNNJNI : [llm_bench][sched][PREFILL] policy=guided ops=21801 total=7324752 static=141387 dynamic=7183365 avg_step=82.5939 avg_target_chunks=8 theo_chunks=307200 actual_chunks=307200 last={total=18992,static=379,dynamic=18613,step=4654,target=8,threads=2,min=1} static_loads=[0:72693,1:68694] dynamic_loads=[0:3473435,1:3709930] latency_us=1765032 tok_s=290.080	03-26 14:03:01.232 7879 7879 I MNNJNI : [llm_bench][sched][DECODE] policy=dynamic ops=0 total=0 static=0 dynamic=0 avg_step=0 avg_target_chunks=0 theo_chunks=0 actual_chunks=0 last={total=0,static=0,dynamic=0,step=1,target=0,threads=1,min=1} static_loads=[] dynamic_loads=[] latency_us=2582057 tok_s=49.573	/home/hefeng/MNN_WSL2/perfetto_traces/20260326/20260326_140142_mnn_aecs_run_20260326_134936/logs/140235_2T_P6_7_D6_7_polguided_psauto_dsauto_pcauto_dcauto.log	-
